"Business Unit Name","Team Name","Sub Team Name"
"Go-to-Market","GTM","Strategy"
"Go-to-Market","GTM","Platforms"
"Go-to-Market","GTM","Data and Analytics"
"Go-to-Market","Sales","Data and Analytics"
"Go-to-Market","CSMs","Data and Analytics"
"Go-to-Market","Renewals",
"Go-to-Market","Customer Value Advisory","Presales"
"Go-to-Market","Marketing",
"Global Business Operations","Finance","Billing Operations"
"Global Business Operations","Finance","Tax"
"Global Business Operations","Finance","Treasury"
"Global Business Operations","Finance","Trust and Assurance"
"Global Business Operations","Finance","Corporate Development"
"Global Business Operations","Finance","Revenue"
"Engineering Product Innovation Cloud","Engineering","Engineering"
"Engineering Product Innovation Cloud","Product","Product"
"Engineering Product Innovation Cloud","Innovation","Innovation"
"Engineering Product Innovation Cloud","Cloud","Cloud"
"Global Business Operations","Enterprise Solutions and Experience","GTM"
"Global Business Operations","Finance",
"Global Business Operations","Finance","Treasury"
"Global Business Operations","Enterprise Solutions and Experience",
"Communications","Internal Communication","Internal Communication"
"Legal","LegalOps","Legal Ops"
"Legal","Legal","GTM"
"Legal","Legal","CX"
"Legal","Legal","EPIC"
"People","People",
"Global Business Operations","Enterprise Solutions and Experience","GTM Solutions"
"Global Business Operations","Enterprise Solutions and Experience","CS Solutions"
"Global Business Operations","Enterprise Solutions and Experience","GBO Solutions"
"Global Business Operations","Enterprise Solutions and Experience","DEX & Platform Engineering"
"Global Business Operations","Enterprise Solutions and Experience","Enterprise Architecture"
"Global Business Operations","Enterprise Solutions and Experience","Enterprise AI"
"Global Business Operations","Enterprise Solutions and Experience","IT Strategy and Transformation"
"Global Business Operations","Enterprise Solutions and Experience","Data and Analytics"
"Global Business Operations","Finance","Accounts Payable/Expense"
"Global Business Operations","Finance","FIPO"
"Global Business Operations","Finance","General Ledger"
"Global Business Operations","Finance","Procurement"
"Global Business Operations","Finance","Renewal Operations"
"Communications","Comms",
"Customer Experience","CX",
"Engineering Product Innovation Cloud","Engineering",
"Engineering Product Innovation Cloud","Product",
"Engineering Product Innovation Cloud","Innovation",
"Engineering Product Innovation Cloud","Cloud",
"Engineering Product Innovation Cloud","Product","Security"
